"V1","V2","V3","V4","V5","V6","V7"
"183: 竹富町干立","n","u","b","i:","",""
"","","","","","",""
"184: 石垣市宮良","n","u","b","i","",""
"184: 竹富町下地","n","u","b","i","",""
"","","","","","",""
"185: 石垣市宮良","n","u","b","i","",""
"185: 与那国町祖納","n","u:","b","i","",""
"","","","","","",""
"186: 石垣市宮良","n","u","b","i","",""
"186: 与那国町比川","n","u","b","i","",""
"","","","","","",""
"187: 石垣市平久保","n","u","b","-","-","i"
"187: 石垣市富野","n","u","b","u","?","i"
"","","","","","",""
"188: 石垣市平久保","n","u","b","-","-","i"
"188: 竹富町竹富","n","u","b","u","?","i"
"","","","","","",""
"189: 石垣市平久保","n","u","b","i","",""
"189: 竹富町黒島","n","u","b","i","",""
"","","","","","",""
"190: 石垣市平久保","n","u","b","-","-","i"
"190: 竹富町小浜","n","u","b","u","?","i"
"","","","","","",""
"191: 石垣市平久保","n","u","b","i","",""
"191: 竹富町古見","n","u","b","i","",""
"","","","","","",""
"192: 石垣市平久保","n","u","b","i","",""
"192: 竹富町干立","n","u","b","i:","",""
"","","","","","",""
"193: 石垣市平久保","n","u","b","i","",""
"193: 竹富町下地","n","u","b","i","",""
"","","","","","",""
"194: 石垣市平久保","n","u","b","i","",""
"194: 与那国町祖納","n","u:","b","i","",""
"","","","","","",""
"195: 石垣市平久保","n","u","b","i","",""
"195: 与那国町比川","n","u","b","i","",""
"","","","","","",""
"196: 石垣市富野","n","u","b","u","?","i"
"196: 竹富町竹富","n","u","b","u","?","i"
"","","","","","",""
"197: 石垣市富野","n","u","b","u","?","i"
"197: 竹富町黒島","n","u","b","-","-","i"
"","","","","","",""
"198: 石垣市富野","n","u","b","u","?","i"
"198: 竹富町小浜","n","u","b","u","?","i"
"","","","","","",""
"199: 石垣市富野","n","u","b","u","?","i"
"199: 竹富町古見","n","u","b","-","-","i"
"","","","","","",""
"200: 石垣市富野","n","u","b","u","?","i"
"200: 竹富町干立","n","u","b","-","-","i:"
"","","","","","",""
"201: 石垣市富野","n","u","b","u","?","i"
"201: 竹富町下地","n","u","b","-","-","i"
"","","","","","",""
"202: 石垣市富野","n","u","b","u","?","i"
"202: 与那国町祖納","n","u:","b","-","-","i"
"","","","","","",""
"203: 石垣市富野","n","u","b","u","?","i"
"203: 与那国町比川","n","u","b","-","-","i"
"","","","","","",""
"204: 竹富町竹富","n","u","b","u","?","i"
"204: 竹富町黒島","n","u","b","-","-","i"
"","","","","","",""
"205: 竹富町竹富","n","u","b","u","?","i"
"205: 竹富町小浜","n","u","b","u","?","i"
"","","","","","",""
"206: 竹富町竹富","n","u","b","u","?","i"
"206: 竹富町古見","n","u","b","-","-","i"
"","","","","","",""
"207: 竹富町竹富","n","u","b","u","?","i"
"207: 竹富町干立","n","u","b","-","-","i:"
"","","","","","",""
"208: 竹富町竹富","n","u","b","u","?","i"
"208: 竹富町下地","n","u","b","-","-","i"
"","","","","","",""
"209: 竹富町竹富","n","u","b","u","?","i"
"209: 与那国町祖納","n","u:","b","-","-","i"
"","","","","","",""
"210: 竹富町竹富","n","u","b","u","?","i"
"210: 与那国町比川","n","u","b","-","-","i"
"","","","","","",""
"211: 竹富町黒島","n","u","b","-","-","i"
"211: 竹富町小浜","n","u","b","u","?","i"
"","","","","","",""
"212: 竹富町黒島","n","u","b","i","",""
"212: 竹富町古見","n","u","b","i","",""
"","","","","","",""
"213: 竹富町黒島","n","u","b","i","",""
"213: 竹富町干立","n","u","b","i:","",""
"","","","","","",""
"214: 竹富町黒島","n","u","b","i","",""
"214: 竹富町下地","n","u","b","i","",""
"","","","","","",""
"215: 竹富町黒島","n","u","b","i","",""
"215: 与那国町祖納","n","u:","b","i","",""
"","","","","","",""
"216: 竹富町黒島","n","u","b","i","",""
"216: 与那国町比川","n","u","b","i","",""
"","","","","","",""
"217: 竹富町小浜","n","u","b","u","?","i"
"217: 竹富町古見","n","u","b","-","-","i"
"","","","","","",""
"218: 竹富町小浜","n","u","b","u","?","i"
"218: 竹富町干立","n","u","b","-","-","i:"
"","","","","","",""
"219: 竹富町小浜","n","u","b","u","?","i"
"219: 竹富町下地","n","u","b","-","-","i"
"","","","","","",""
"220: 竹富町小浜","n","u","b","u","?","i"
"220: 与那国町祖納","n","u:","b","-","-","i"
"","","","","","",""
"221: 竹富町小浜","n","u","b","u","?","i"
"221: 与那国町比川","n","u","b","-","-","i"
"","","","","","",""
"222: 竹富町古見","n","u","b","i","",""
"222: 竹富町干立","n","u","b","i:","",""
"","","","","","",""
"223: 竹富町古見","n","u","b","i","",""
"223: 竹富町下地","n","u","b","i","",""
"","","","","","",""
"224: 竹富町古見","n","u","b","i","",""
"224: 与那国町祖納","n","u:","b","i","",""
"","","","","","",""
"225: 竹富町古見","n","u","b","i","",""
"225: 与那国町比川","n","u","b","i","",""
"","","","","","",""
"226: 竹富町干立","n","u","b","i:","",""
"226: 竹富町下地","n","u","b","i","",""
"","","","","","",""
"227: 竹富町干立","n","u","b","i:","",""
"227: 与那国町祖納","n","u:","b","i","",""
"","","","","","",""
"228: 竹富町干立","n","u","b","i:","",""
"228: 与那国町比川","n","u","b","i","",""
"","","","","","",""
"229: 竹富町下地","n","u","b","i","",""
"229: 与那国町祖納","n","u:","b","i","",""
"","","","","","",""
"230: 竹富町下地","n","u","b","i","",""
"230: 与那国町比川","n","u","b","i","",""
"","","","","","",""
"231: 与那国町祖納","n","u:","b","i","",""
"231: 与那国町比川","n","u","b","i","",""
